formulacao;manteiga_1;manteiga_2;oleo;perc_lipidio1;perc_lipidio2;perc_tensoativo;pdi;tamanho;Translucida;PontoDeNuvem;Lipidio1;PontoFusao1;Perc_Ac_Palmitico1;Perc_Ac_Estearico1;Perc_Ac_Oleico1;Perc_Ac_Linoleico1;Perc_Ac_Vacenico1;Perc_Ac_Linolenico1;Perc_Ac_Caprilico1;Perc_Ac_Caprico1;Perc_Ac_Laurico1;Perc_Ac_Miristico1;Perc_Ac_Palmitoleico1;Perc_Ac_Beenico1;Perc_Ac_Valerico1;Perc_Ac_Araquidico1;Perc_Outros1;Perc_AG_Saturados1;Perc_AG_Insaturados1;Lipidio2;PontoFusao2;Perc_Ac_Palmitico2;Perc_Ac_Estearico2;Perc_Ac_Oleico2;Perc_Ac_Linoleico2;Perc_Ac_Vacenico2;Perc_Ac_Linolenico2;Perc_Ac_Caprilico2;Perc_Ac_Caprico2;Perc_Ac_Laurico2;Perc_Ac_Miristico2;Perc_Ac_Palmitoleico2;Perc_Ac_Beenico2;Perc_Ac_Valerico2;Perc_Ac_Araquidico2;Perc_Outros2;Perc_AG_Saturados2;Perc_AG_Insaturados2
1;Tucumã;0;Tucumã;25;25;50;0,104;31,49;1;1;Manteiga de Tucumã;30;7,5;2;9;0;0;3,5;1;1,5;49,5;26;0;0;0;NULL;0;97;3;Óleo de Tucumã;20;25,5;2,5;64;2;1,5;3;0;0;0;0;0;0;0;NULL;0;27;73
2;Tucumã;0;Tucumã;16,65;50;33,35;0,131;91,71;1;1;Manteiga de Tucumã;30;7,5;2;9;0;0;3,5;1;1,5;49,5;26;0;0;0;NULL;0;97;3;Óleo de Tucumã;20;25,5;2,5;64;2;1,5;3;0;0;0;0;0;0;0;NULL;0;27;73
3;Tucumã;0;Tucumã;50;16,65;33,35;0,135;87,85;1;1;Manteiga de Tucumã;30;7,5;2;9;0;0;3,5;1;1,5;49,5;26;0;0;0;NULL;0;97;3;Óleo de Tucumã;20;25,5;2,5;64;2;1,5;3;0;0;0;0;0;0;0;NULL;0;27;73
4;Tucumã;0;Tucumã;37,5;37,5;25;0,252;105,2;0;1;Manteiga de Tucumã;30;7,5;2;9;0;0;3,5;1;1,5;49,5;26;0;0;0;NULL;0;97;3;Óleo de Tucumã;20;25,5;2,5;64;2;1,5;3;0;0;0;0;0;0;0;NULL;0;27;73
5;Tucumã;0;Tucumã;25;50;25;0,299;150;0;0;Manteiga de Tucumã;30;7,5;2;9;0;0;3,5;1;1,5;49,5;26;0;0;0;NULL;0;97;3;Óleo de Tucumã;20;25,5;2,5;64;2;1,5;3;0;0;0;0;0;0;0;NULL;0;27;73
6;Tucumã;0;Tucumã;25;16,65;58,35;0,071;22,09;1;1;Manteiga de Tucumã;30;7,5;2;9;0;0;3,5;1;1,5;49,5;26;0;0;0;NULL;0;97;3;Óleo de Tucumã;20;25,5;2,5;64;2;1,5;3;0;0;0;0;0;0;0;NULL;0;27;73
7;Tucumã;0;Tucumã;50;25;25;0,384;138,4;0;0;Manteiga de Tucumã;30;7,5;2;9;0;0;3,5;1;1,5;49,5;26;0;0;0;NULL;0;97;3;Óleo de Tucumã;20;25,5;2,5;64;2;1,5;3;0;0;0;0;0;0;0;NULL;0;27;73
8;Tucumã;0;Tucumã;33,35;16,65;50;0,081;27,68;1;1;Manteiga de Tucumã;30;7,5;2;9;0;0;3,5;1;1,5;49,5;26;0;0;0;NULL;0;97;3;Óleo de Tucumã;20;25,5;2,5;64;2;1,5;3;0;0;0;0;0;0;0;NULL;0;27;73
9;Tucumã;0;Tucumã;16,65;25;58,35;0,177;24,14;1;1;Manteiga de Tucumã;30;7,5;2;9;0;0;3,5;1;1,5;49,5;26;0;0;0;NULL;0;97;3;Óleo de Tucumã;20;25,5;2,5;64;2;1,5;3;0;0;0;0;0;0;0;NULL;0;27;73
10;Tucumã;0;Tucumã;33,35;50;16,65;0,581;382,3;0;0;Manteiga de Tucumã;30;7,5;2;9;0;0;3,5;1;1,5;49,5;26;0;0;0;NULL;0;97;3;Óleo de Tucumã;20;25,5;2,5;64;2;1,5;3;0;0;0;0;0;0;0;NULL;0;27;73
11;Tucumã;0;Tucumã;33,35;33,35;33,3;0,152;84,96;1;0;Manteiga de Tucumã;30;7,5;2;9;0;0;3,5;1;1,5;49,5;26;0;0;0;NULL;0;97;3;Óleo de Tucumã;20;25,5;2,5;64;2;1,5;3;0;0;0;0;0;0;0;NULL;0;27;73
1;Cupuaçu;0;Pequi;25;25;50;0,331;48,15;1;1;Manteiga de cupuaçu;27;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;Óleo de Pequi;21;38,5;0;55,5;1,9;0;0,3;0;0;0;0;1;0;0;NULL;0;42;58
2;Cupuaçu;0;Pequi;16,65;50;33,35;0,513;308,5;0;0;Manteiga de cupuaçu;27;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;Óleo de Pequi;21;38,5;0;55,5;1,9;0;0,3;0;0;0;0;1;0;0;NULL;0;42;58
