Lipídeo;P.F (ºC);Ac Palmítico (%);Ac Esteárico (%);Ac Oléico (%);Ac Linoleico (%);Ac Vacênico (%);Ac Linolênico (%);Ac Caprílico (%);Ac Cáprico (%);Ac Láurico (%);Ac Mirístico (%);Ac Palmitoleico (%);Ac Beenico (%);Ác Valérico ;Ac. araquidico;Outros (%);AG Saturados (%);AG Insaturados (%)
Manteiga de Tucumã;30;7.5;2;9;0;0;3.5;1;1.5;49.5;26;0;0;0;;0;97;3
Óleo de Tucumã;20;25.5;2.5;64;2;1.5;3;0;0;0;0;0;0;0;;0;27;73
Óleo de Pequi;21;38.5;0;55.5;1.9;0;0.3;0;0;0;0;1;0;0;;0;42;58
Manteiga de cupuaçu;27;9.5;31.5;42.5;5;0;0;0;0;0;0;0;1.5;0;;3;55;45
Óleo de urucum;0;5|10;3|6;13|40;40|74;0;0;0;0;0;0;0;0;0;;0;14;86
Óleo de Açaí;4;17|28;1.5|6;40|60;10|22;3|4.5;0;0;0;0;0;2|6;0;0;;0;28;72
Manteiga de murumuru;30|35;5|10;2|5;5|10;1|6;0;0;2|4;1|3;40|50;28|33;2|4;0;0;;0;90;10
Manteiga de cacau;35|36;38.32;33.54;24.67;1.84;0;0.1;0;0;0;0.13;0.72;0.05;0;;0;72.66;27.33
Óleo de Buriti;25|28;14|19;1.5|6;55|75;10|15;0;0.5|1.5;0;0;0;0;0;0;0.6|1;;0;22;78
Manteiga de Ucuuba;53;7|9;0;0;0;0;0;0;0;16|20;72|76 ;0;0;0;;0;100;0
Óleo de Jambu;23;10|15;0;20|30;30|40;0;0;0;0;0;0;0;0;0;;0;0;0
Manteiga de Manga;33|38;4.5;40|44;43|49;3|6;0;0;0;0;0;0;0;0;;1.5|3.5;0;50.25;50.5
Óleo de andiroba;22;25|32;6|13;45|58;6|14;0;0;0;0;0;0;0.8;0;;;;40;60
Manteiga de Bacuri ;35;67|75;0;22|27;0;0;0;0;0;0;0;3|7;0;0;0;0;75;25
Óleo de Pracaxi ;18.5;1.0|3.5;1.5|3.0;45|55;10|15;0;0;0;1.5;0;0;0;14|20;0;1|3;8|14;35;65
Óleo de Bacaba;6;13|15;4|7;50|65;7|16;0;0;0;0;0;0;3.5|5;6|10;0;0;0;33;67
BRIJo10;Oleyl alcohol (C₁₈H₃₅OH);;;;;;;;;;;;;;;;;
Óleo de Maracujá;5;8|12;1.5|2.5;13|18;70|77;0;0.5|2;0;0;0;0;0;0;0;0;0;16;84
Óleo de Goiaba;10|20;8|10;5|7;14|16;65|70;0;0;0;0;1.5;1;0;0;0;0;0;14;86
Óleo de Babaçu ;22|26;5|9 ;2.5|5.5 ;12|16 ;1|3;0;0;4|6;6|8;43|47;15|19;0;0;0;0;0;85;15
Óleo de Castanha do Pará ;4;16|20;9|13 ;36|45;33|38;0;0;0;0;0;0;1.5|1.2;0;0;0;4|6;25;75
Óleo de Graviola ;10|20;20|25;4|6;38|45;25|30;0;2;0;0;0;0.5;2.5;0;0;0;0;30;70
Óleo de Palma ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
