Lipidio1;Lipidio2;Qtde_Lipidio1;Qtde_Lipidio2;Qtde_Tensoativo;Perc_Lipidio1;Perc_Lipidio2;Perc_Tensoativo
Manteiga de murumuru;Óleo de Palma;1.3;0.3;2.4;3.25;0.75;0.6
Óleo de Bacaba;Manteiga de murumuru;1.2;1.2;1.6;3;3;0.4
Óleo de Pequi;Manteiga de murumuru;0.8;1.4;1.8;2;3.5;0.45
Óleo de Graviola;Manteiga de Ucuuba;1.2;0.8;2;3;2;0.5
Óleo Maracuja;Óleo de Manteiga de cupuaçu;1;1;2;2.5;2.5;0.5
Óleo de Palma;Manteiga de cupuaçu ;1.9;0.1;2;4.75;0.25;0.5
Manteiga de cupuaçu ;Óleo de Manteiga de cupuaçu;1.8;0.2;2;4.5;0.5;0.5
Óleo de Manteiga de Manteiga de Bacuri;Óleo de Graviola;0.7;0.7;2.6;1.75;1.75;0.65
Manteiga de Bacuri;Manteiga de murumuru ;1.4;0.8;1.8;3.5;2;0.45
Castanha do Pará ;Óleo de Palma;1;1;2;2.5;2.5;0.5
Manteiga de murumuru;Castanha do Pará;1.7;0.2;2.1;4.25;0.5;0.525
Manteiga de murumuru;Óleo de Manteiga de Manteiga de Bacuri;1.2;0.8;2;3;2;0.5
Óleo de Palma;Óleo de Babaçu ;0.4;1.6;2;1;4;0.5
Manteiga de murumuru;Manteiga de Ucuuba;1.3;0.3;2.4;3.25;0.75;0.6
Manteiga de Tucuma;Óleo de Pequi;1.2;1.2;1.6;3;3;0.4
Óleo de Buriti ;Óleo de andiroba;0.8;1.4;1.8;2;3.5;0.45
Manteiga de Tucuma;Óleo de Óleo de andiroba ;1.2;0.8;2;3;2;0.5
Manteiga de cupuaçu ;Óleo de Pracaxi;1;1;2;2.5;2.5;0.5
Óleo de Acai;Manteiga de Bacuri ;1.2;0.8;2;3;2;0.5
