formulacao;manteiga_1;manteiga_2;oleo;perc_lipidio1;perc_lipidio2;perc_tensoativo;pdi;tamanho;translucida;PontoDeNuvem;L1;L2;Lipidio1;PontoFusao1;Perc_Ac_Palmitico1;Perc_Ac_Estearico1;Perc_Ac_Oleico1;Perc_Ac_Linoleico1;Perc_Ac_Vacenico1;Perc_Ac_Linolenico1;Perc_Ac_Caprilico1;Perc_Ac_Caprico1;Perc_Ac_Laurico1;Perc_Ac_Miristico1;Perc_Ac_Palmitoleico1;Perc_Ac_Beenico1;Perc_Ac_Valerico1;Perc_Ac_Araquidico1;Perc_Outros1;Perc_AG_Saturados1;Perc_AG_Insaturados1;Lipidio2;PontoFusao2;Perc_Ac_Palmitico2;Perc_Ac_Estearico2;Perc_Ac_Oleico2;Perc_Ac_Linoleico2;Perc_Ac_Vacenico2;Perc_Ac_Linolenico2;Perc_Ac_Caprilico2;Perc_Ac_Caprico2;Perc_Ac_Laurico2;Perc_Ac_Miristico2;Perc_Ac_Palmitoleico2;Perc_Ac_Beenico2;Perc_Ac_Valerico2;Perc_Ac_Araquidico2;Perc_Outros2;Perc_AG_Saturados2;Perc_AG_Insaturados2
1;Manteiga de murumuru;Óleo de Palma;;3,25;0,75;0,6;NULL;NULL;NULL;NULL;Manteiga de murumuru;Óleo de Palma ;Manteiga de murumuru;325;7,5;3,5;7,5;3,5;0;0;3;2;45;30,5;3;0;0;NULL;0;90;10;Óleo de Palma ;365;40,7;5;42;10;0;0,5;1;1;1;1;0,5;0;0;0,5;0;47,8;52,2
1;Óleo de Bacaba;Manteiga de murumuru;;3;3;0,4;NULL;NULL;NULL;NULL;Óleo de Bacaba;Manteiga de murumuru;Óleo de Bacaba;60;14;5,5;57,5;11,5;0;0;0;0;0;0;4,25;8;0;0;0;33;67;Manteiga de murumuru;325;7,5;3,5;7,5;3,5;0;0;3;2;45;30,5;3;0;0;NULL;0;90;10
1;Óleo de Pequi;Manteiga de murumuru;;2;3,5;0,45;NULL;NULL;NULL;NULL;Óleo de Pequi;Manteiga de murumuru;Óleo de Pequi;210;38,5;0;55,5;1,9;0;0,3;0;0;0;0;1;0;0;NULL;0;42;58;Manteiga de murumuru;325;7,5;3,5;7,5;3,5;0;0;3;2;45;30,5;3;0;0;NULL;0;90;10
1;Óleo de Graviola;Manteiga de Ucuuba;;3;2;0,5;NULL;NULL;NULL;NULL;Óleo de Graviola ;Manteiga de Ucuuba;Óleo de Graviola ;150;22,5;5;41,5;27,5;0;2;0;0;0;0,5;2,5;0;0;0;0;30;70;Manteiga de Ucuuba;530;8;0;0;0;0;0;0;0;18;74;0;0;0;NULL;0;100;0
1;Óleo de Maracujá;Manteiga de cupuaçu;;2,5;2,5;0,5;NULL;NULL;NULL;NULL;Óleo de Maracujá;Manteiga de cupuaçu;Óleo de Maracujá;50;10;2;15,5;73,5;0;1,25;0;0;0;0;0;0;0;0;0;16;84;Manteiga de cupuaçu;270;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45
1;Óleo de Palma;Manteiga de cupuaçu ;;4,75;0,25;0,5;NULL;NULL;NULL;NULL;Óleo de Palma ;Manteiga de cupuaçu;Óleo de Palma ;365;40,7;5;42;10;0;0,5;1;1;1;1;0,5;0;0;0,5;0;47,8;52,2;Manteiga de cupuaçu;270;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45
1;Manteiga de cupuaçu ;Manteiga de cupuaçu;;4,5;0,5;0,5;NULL;NULL;NULL;NULL;Manteiga de cupuaçu;Manteiga de cupuaçu;Manteiga de cupuaçu;270;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;Manteiga de cupuaçu;270;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45
1;Manteiga de Bacuri;Óleo de Graviola;;1,75;1,75;0,65;NULL;NULL;NULL;NULL;Manteiga de Bacuri ;Óleo de Graviola ;Manteiga de Bacuri ;350;71;0;24,5;0;0;0;0;0;0;0;5;0;0;0;0;75;25;Óleo de Graviola ;150;22,5;5;41,5;27,5;0;2;0;0;0;0,5;2,5;0;0;0;0;30;70
1;Manteiga de Bacuri;Manteiga de murumuru ;;3,5;2;0,45;NULL;NULL;NULL;NULL;Manteiga de Bacuri ;Manteiga de murumuru;Manteiga de Bacuri ;350;71;0;24,5;0;0;0;0;0;0;0;5;0;0;0;0;75;25;Manteiga de murumuru;325;7,5;3,5;7,5;3,5;0;0;3;2;45;30,5;3;0;0;NULL;0;90;10
1;Óleo de Castanha do Pará;Óleo de Palma;;2,5;2,5;0,5;NULL;NULL;NULL;NULL;Óleo de Castanha do Pará ;Óleo de Palma ;Óleo de Castanha do Pará ;40;18;11;40,5;35,5;0;0;0;0;0;0;1,35;0;0;0;5;25;75;Óleo de Palma ;365;40,7;5;42;10;0;0,5;1;1;1;1;0,5;0;0;0,5;0;47,8;52,2
1;Manteiga de murumuru;Óleo de Castanha do Pará;;4,25;0,5;0,525;NULL;NULL;NULL;NULL;Manteiga de murumuru;Óleo de Castanha do Pará ;Manteiga de murumuru;325;7,5;3,5;7,5;3,5;0;0;3;2;45;30,5;3;0;0;NULL;0;90;10;Óleo de Castanha do Pará ;40;18;11;40,5;35,5;0;0;0;0;0;0;1,35;0;0;0;5;25;75
1;Manteiga de murumuru;Manteiga de Bacuri;;3;2;0,5;NULL;NULL;NULL;NULL;Manteiga de murumuru;Manteiga de Bacuri ;Manteiga de murumuru;325;7,5;3,5;7,5;3,5;0;0;3;2;45;30,5;3;0;0;NULL;0;90;10;Manteiga de Bacuri ;350;71;0;24,5;0;0;0;0;0;0;0;5;0;0;0;0;75;25
