;perc_lipidio1;perc_lipidio2;perc_tensoativo;pdi;tamanho;l1;l2;lipidio1;pontofusao1;perc_ac_palmitico1;perc_ac_estearico1;perc_ac_oleico1;perc_ac_linoleico1;perc_ac_vacenico1;perc_ac_linolenico1;perc_ac_caprilico1;perc_ac_caprico1;perc_ac_laurico1;perc_ac_miristico1;perc_ac_palmitoleico1;perc_ac_beenico1;perc_ac_valerico1;perc_ac_araquidico1;perc_outros1;perc_ag_saturados1;perc_ag_insaturados1;lipidio2;pontofusao2;perc_ac_palmitico2;perc_ac_estearico2;perc_ac_oleico2;perc_ac_linoleico2;perc_ac_vacenico2;perc_ac_linolenico2;perc_ac_caprilico2;perc_ac_caprico2;perc_ac_laurico2;perc_ac_miristico2;perc_ac_palmitoleico2;perc_ac_beenico2;perc_ac_valerico2;perc_ac_araquidico2;perc_outros2;perc_ag_saturados2;perc_ag_insaturados2;norm_perc_tensoativo;norm_perc_ac_palmitico1;norm_perc_ac_estearico1;norm_perc_ac_oleico1;norm_perc_ac_linoleico1;norm_perc_ac_vacenico1;norm_perc_ac_linolenico1;norm_perc_ac_caprilico1;norm_perc_ac_caprico1;norm_perc_ac_laurico1;norm_perc_ac_miristico1;norm_perc_ac_palmitoleico1;norm_perc_ac_beenico1;norm_perc_ac_valerico1;norm_perc_ac_araquidico1;norm_perc_outros1;norm_perc_ag_saturados1;norm_perc_ag_insaturados1;norm_perc_ac_palmitico2;norm_perc_ac_estearico2;norm_perc_ac_oleico2;norm_perc_ac_linoleico2;norm_perc_ac_vacenico2;norm_perc_ac_linolenico2;norm_perc_ac_caprilico2;norm_perc_ac_caprico2;norm_perc_ac_laurico2;norm_perc_ac_miristico2;norm_perc_ac_palmitoleico2;norm_perc_ac_beenico2;norm_perc_ac_valerico2;norm_perc_ac_araquidico2;norm_perc_outros2;norm_perc_ag_saturados2;norm_perc_ag_insaturados2;lipidio1_id;lipidio2_id;formou_nano
0;3.25;0.75;0.6;0.0;0.0;Manteiga de murumuru;Óleo de Palma ;Manteiga de murumuru;325;7.5;3.5;7.5;3.5;0.0;0.0;3;2.0;45.0;30.5;3.0;0.0;0.0;0.0;0;90.0;10.0;Óleo de Palma ;365;40.7;5.0;42.0;10.0;0;0.5;1;1.0;1;1.0;0.5;0.0;0.0;0.5;0.0;47.8;52.2;0.0045;0.24375000000000002;0.11375;0.24375000000000002;0.11375;0.0;0.0;0.0975;0.065;1.4625000000000001;0.9912500000000001;0.0975;0.0;0.0;0.0;0.0;2.9250000000000003;0.325;0.30525;0.0375;0.315;0.075;0.0;0.00375;0.0075;0.0075;0.0075;0.0075;0.00375;0.0;0.0;0.00375;0.0;0.3585;0.3915;3;7;1
1;3.0;3.0;0.4;0.0;0.0;Óleo de Bacaba;Manteiga de murumuru;Óleo de Bacaba;60;14.0;5.5;57.5;11.5;0.0;0.0;0;0.0;0.0;0.0;4.25;8.0;0.0;0.0;0;33.0;67.0;Manteiga de murumuru;325;7.5;3.5;7.5;3.5;0;0.0;3;2.0;45;30.5;3.0;0.0;0.0;0.0;0.0;90.0;10.0;0.012;0.42;0.16499999999999998;1.7249999999999999;0.345;0.0;0.0;0.0;0.0;0.0;0.0;0.1275;0.24;0.0;0.0;0.0;0.99;2.01;0.22499999999999998;0.105;0.22499999999999998;0.105;0.0;0.0;0.09;0.06;1.3499999999999999;0.9149999999999999;0.09;0.0;0.0;0.0;0.0;2.6999999999999997;0.3;5;3;1
2;2.0;3.5;0.45;0.0;0.0;Óleo de Pequi;Manteiga de murumuru;Óleo de Pequi;210;38.5;0.0;55.5;1.9;0.0;0.3;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;42.0;58.0;Manteiga de murumuru;325;7.5;3.5;7.5;3.5;0;0.0;3;2.0;45;30.5;3.0;0.0;0.0;0.0;0.0;90.0;10.0;0.015750000000000004;0.77;0.0;1.11;0.038;0.0;0.006;0.0;0.0;0.0;0.0;0.02;0.0;0.0;0.0;0.0;0.84;1.16;0.2625;0.12250000000000001;0.2625;0.12250000000000001;0.0;0.0;0.10500000000000001;0.07;1.5750000000000002;1.0675000000000001;0.10500000000000001;0.0;0.0;0.0;0.0;3.1500000000000004;0.35000000000000003;11;3;1
3;3.0;2.0;0.5;0.0;0.0;Óleo de Graviola ;Manteiga de Ucuuba;Óleo de Graviola ;150;22.5;5.0;41.5;27.5;0.0;2.0;0;0.0;0.0;0.5;2.5;0.0;0.0;0.0;0;30.0;70.0;Manteiga de Ucuuba;530;8.0;0.0;0.0;0.0;0;0.0;0;0.0;18;74.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.01;0.6749999999999999;0.15;1.2449999999999999;0.825;0.0;0.06;0.0;0.0;0.0;0.015;0.075;0.0;0.0;0.0;0.0;0.8999999999999999;2.1;0.16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.36;1.48;0.0;0.0;0.0;0.0;0.0;2.0;0.0;8;1;0
4;2.5;2.5;0.5;0.0;0.0;Óleo de Maracujá;Manteiga de cupuaçu;Óleo de Maracujá;50;10.0;2.0;15.5;73.5;0.0;1.25;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;16.0;84.0;Manteiga de cupuaçu;270;9.5;31.5;42.5;5.0;0;0.0;0;0.0;0;0.0;0.0;1.5;0.0;0.0;3.0;55.0;45.0;0.0125;0.25;0.05;0.3875;1.8375000000000001;0.0;0.03125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;2.1;0.23750000000000002;0.7875000000000001;1.0625;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.037500000000000006;0.0;0.0;0.07500000000000001;1.375;1.125;9;2;1
5;4.75;0.25;0.5;0.0;0.0;Óleo de Palma ;Manteiga de cupuaçu;Óleo de Palma ;365;40.7;5.0;42.0;10.0;0.0;0.5;1;1.0;1.0;1.0;0.5;0.0;0.0;0.5;0;47.8;52.2;Manteiga de cupuaçu;270;9.5;31.5;42.5;5.0;0;0.0;0;0.0;0;0.0;0.0;1.5;0.0;0.0;3.0;55.0;45.0;0.00125;1.9332500000000001;0.2375;1.995;0.475;0.0;0.02375;0.0475;0.0475;0.0475;0.0475;0.02375;0.0;0.0;0.02375;0.0;2.2704999999999997;2.4795000000000003;0.02375;0.07875;0.10625;0.0125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00375;0.0;0.0;0.0075;0.1375;0.1125;10;2;0
6;4.5;0.5;0.5;0.0;0.0;Manteiga de cupuaçu;Manteiga de cupuaçu;Manteiga de cupuaçu;270;9.5;31.5;42.5;5.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1.5;0.0;0.0;3;55.0;45.0;Manteiga de cupuaçu;270;9.5;31.5;42.5;5.0;0;0.0;0;0.0;0;0.0;0.0;1.5;0.0;0.0;3.0;55.0;45.0;0.0025;0.4275;1.4175;1.9124999999999999;0.22499999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0675;0.0;0.0;0.135;2.475;2.025;0.0475;0.1575;0.2125;0.025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.015;0.275;0.225;2;2;1
7;1.75;1.75;0.65;0.0;0.0;Manteiga de Bacuri ;Óleo de Graviola ;Manteiga de Bacuri ;350;71.0;0.0;24.5;0.0;0.0;0.0;0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0;75.0;25.0;Óleo de Graviola ;150;22.5;5.0;41.5;27.5;0;2.0;0;0.0;0;0.5;2.5;0.0;0.0;0.0;0.0;30.0;70.0;0.011375000000000001;1.2425000000000002;0.0;0.42875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08750000000000001;0.0;0.0;0.0;0.0;1.3125000000000002;0.43750000000000006;0.39375000000000004;0.08750000000000001;0.7262500000000001;0.48125000000000007;0.0;0.035;0.0;0.0;0.0;0.00875;0.043750000000000004;0.0;0.0;0.0;0.0;0.525;1.225;0;6;1
8;3.5;2.0;0.45;0.0;0.0;Manteiga de Bacuri ;Manteiga de murumuru;Manteiga de Bacuri ;350;71.0;0.0;24.5;0.0;0.0;0.0;0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0;75.0;25.0;Manteiga de murumuru;325;7.5;3.5;7.5;3.5;0;0.0;3;2.0;45;30.5;3.0;0.0;0.0;0.0;0.0;90.0;10.0;0.009000000000000001;2.4850000000000003;0.0;0.8575;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17500000000000002;0.0;0.0;0.0;0.0;2.6250000000000004;0.8750000000000001;0.15;0.07;0.15;0.07;0.0;0.0;0.06;0.04;0.9;0.61;0.06;0.0;0.0;0.0;0.0;1.8;0.2;0;3;0
9;2.5;2.5;0.5;0.0;0.0;Óleo de Castanha do Pará ;Óleo de Palma ;Óleo de Castanha do Pará ;40;18.0;11.0;40.5;35.5;0.0;0.0;0;0.0;0.0;0.0;1.35;0.0;0.0;0.0;5;25.0;75.0;Óleo de Palma ;365;40.7;5.0;42.0;10.0;0;0.5;1;1.0;1;1.0;0.5;0.0;0.0;0.5;0.0;47.8;52.2;0.0125;0.45;0.275;1.0125;0.8875000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.03375;0.0;0.0;0.0;0.125;0.625;1.875;1.0175;0.125;1.05;0.25;0.0;0.0125;0.025;0.025;0.025;0.025;0.0125;0.0;0.0;0.0125;0.0;1.195;1.3050000000000002;7;7;1
